test_id, mos
test_000, 1.9837828874588013
test_001, 3.921257972717285
test_002, 3.728757619857788
test_003, 3.171490430831909
test_004, 4.093218803405762
test_005, 4.186643123626709
test_006, 3.4582037925720215
test_007, 3.0147435665130615
test_008, 3.9766693115234375
test_009, 2.9915499687194824
test_010, 2.864004135131836
test_011, 3.694762706756592
test_012, 3.087069034576416
test_013, 2.993769407272339
test_014, 2.4918265342712402
test_015, 2.4261066913604736
test_016, 3.7610857486724854
test_017, 3.231489658355713
test_018, 2.2456555366516113
test_019, 3.5670535564422607
test_020, 4.060337066650391
test_021, 3.7074310779571533
test_022, 2.569545269012451
test_023, 3.5934712886810303
test_024, 3.765082597732544
test_025, 3.6164450645446777
test_026, 3.87117338180542
test_027, 2.7845466136932373
test_028, 2.4030139446258545
test_029, 3.5953571796417236
test_030, 2.746946334838867
test_031, 3.8252553939819336
test_032, 3.363922357559204
test_033, 3.252624273300171
test_034, 3.1158251762390137
test_035, 2.981658697128296
test_036, 3.103334903717041
test_037, 3.798583507537842
test_038, 3.4941799640655518
test_039, 3.3950159549713135
test_040, 3.5975301265716553
test_041, 3.3919639587402344
test_042, 4.072344779968262
test_043, 1.8347355127334595
test_044, 2.8256027698516846
test_045, 3.529817581176758
test_046, 2.980512857437134
test_047, 3.6761715412139893
test_048, 4.253559112548828
test_049, 3.70233154296875
test_050, 3.229166269302368
test_051, 4.077728748321533
test_052, 3.3079729080200195
test_053, 3.4049110412597656
test_054, 2.7603628635406494
test_055, 3.9358279705047607
test_056, 2.4749772548675537
test_057, 4.214860916137695
test_058, 3.4919958114624023
test_059, 4.143931865692139
test_060, 3.6447536945343018
test_061, 4.036926746368408
test_062, 3.8945958614349365
test_063, 3.3099606037139893
test_064, 2.5588364601135254
test_065, 2.898822546005249
test_066, 3.5825891494750977
test_067, 3.421452760696411
test_068, 2.310880661010742
test_069, 3.3081650733947754
test_070, 2.995903253555298
test_071, 3.4509053230285645
test_072, 3.4823760986328125
test_073, 2.9276974201202393
test_074, 3.001173973083496
test_075, 2.95790958404541
test_076, 3.0566015243530273
test_077, 3.0072176456451416
test_078, 3.7243192195892334
test_079, 3.4254419803619385
test_080, 4.006509304046631
test_081, 3.8381872177124023
test_082, 3.7527246475219727
test_083, 3.8092684745788574
test_084, 2.733771324157715
test_085, 3.3234646320343018
test_086, 3.713823080062866
test_087, 3.2568747997283936
test_088, 3.11401104927063
test_089, 3.7606685161590576
test_090, 3.2375903129577637
test_091, 2.23895263671875
test_092, 3.348778009414673
test_093, 3.8902225494384766
test_094, 2.7542247772216797
test_095, 3.9770171642303467
test_096, 3.2978403568267822
test_097, 2.792351722717285
test_098, 3.6422512531280518
test_099, 3.5040531158447266
test_100, 2.89021635055542
test_101, 2.784292697906494
test_102, 2.818347454071045
test_103, 2.9191415309906006
test_104, 2.6392576694488525
test_105, 3.6341888904571533
test_106, 3.1214759349823
test_107, 3.444780111312866
test_108, 2.9279022216796875
test_109, 2.0160329341888428
test_110, 2.478076696395874
test_111, 3.4036037921905518
test_112, 3.7670624256134033
test_113, 2.4727423191070557
test_114, 2.5635602474212646
test_115, 2.903942823410034
test_116, 3.79164719581604
test_117, 3.612839460372925
test_118, 2.8300423622131348
test_119, 2.076138734817505
test_120, 2.597137212753296
test_121, 2.3944997787475586
test_122, 3.4650797843933105
test_123, 2.576256036758423
test_124, 2.5054056644439697
test_125, 3.5071280002593994
test_126, 4.152372360229492
test_127, 3.9480271339416504
test_128, 3.6470868587493896
test_129, 3.046058177947998
test_130, 2.734408378601074
test_131, 3.190119981765747
test_132, 2.9824836254119873
test_133, 2.2000985145568848
test_134, 3.4609787464141846
test_135, 3.5729269981384277
test_136, 3.7301461696624756
test_137, 2.4759747982025146
test_138, 3.616227149963379
test_139, 3.4520838260650635
test_140, 3.6258928775787354
test_141, 1.7896090745925903
test_142, 3.7152554988861084
test_143, 3.959789276123047
test_144, 3.1763906478881836
test_145, 3.1361939907073975
test_146, 3.8050763607025146
test_147, 3.533704996109009
test_148, 3.083381414413452
test_149, 2.3527474403381348
test_150, 3.087877035140991
test_151, 2.212735891342163
test_152, 2.7882637977600098
test_153, 3.390021324157715
test_154, 3.545078992843628
test_155, 3.472416877746582
test_156, 2.378033399581909
test_157, 3.4673707485198975
test_158, 2.7546658515930176
test_159, 3.75056529045105
test_160, 3.678332567214966
test_161, 2.0707874298095703
test_162, 3.729121208190918
test_163, 2.4521708488464355
test_164, 4.066885471343994
test_165, 3.7992522716522217
test_166, 3.3664894104003906
test_167, 3.5639617443084717
test_168, 1.72393798828125
test_169, 4.083338737487793
test_170, 3.5542995929718018
test_171, 3.4578614234924316
test_172, 2.5618624687194824
test_173, 3.3922581672668457
test_174, 3.0619144439697266
test_175, 3.0496530532836914
test_176, 2.872479200363159
test_177, 3.4383413791656494
test_178, 3.7004241943359375
test_179, 3.577782392501831
test_180, 3.5045783519744873
test_181, 3.0322561264038086
test_182, 3.7436916828155518
test_183, 2.367507219314575
test_184, 3.341442823410034
test_185, 3.0725841522216797
test_186, 3.60038161277771
test_187, 2.605299234390259
test_188, 3.3189756870269775
test_189, 3.9996402263641357
test_190, 3.139315366744995
test_191, 4.054123878479004
test_192, 2.543429136276245
test_193, 3.3957321643829346
test_194, 2.9280412197113037
test_195, 3.2663769721984863
test_196, 3.407923460006714
test_197, 3.79653000831604
test_198, 3.409736394882202
test_199, 2.9190218448638916
test_200, 3.0983197689056396
test_201, 3.3027448654174805
test_202, 3.311157464981079
test_203, 2.7529356479644775
test_204, 2.2146084308624268
test_205, 2.7063138484954834
test_206, 3.80446457862854
test_207, 2.80770206451416
test_208, 3.679830551147461
test_209, 2.7629122734069824
test_210, 3.104536771774292
test_211, 3.7095394134521484
test_212, 3.987041473388672
test_213, 3.7058329582214355
test_214, 2.358299493789673
test_215, 1.6454499959945679
test_216, 3.603205680847168
