test_id, mos
test_000, 3.365736961364746
test_001, 4.03737211227417
test_002, 3.776129722595215
test_003, 3.2469124794006348
test_004, 4.14063024520874
test_005, 3.917640447616577
test_006, 3.60087513923645
test_007, 2.9328646659851074
test_008, 3.20546555519104
test_009, 3.293694257736206
test_010, 3.2611594200134277
test_011, 3.8533573150634766
test_012, 3.44974422454834
test_013, 2.4744229316711426
test_014, 2.2396399974823
test_015, 3.4791433811187744
test_016, 3.374927282333374
test_017, 3.6101059913635254
test_018, 3.3569560050964355
test_019, 4.0545854568481445
test_020, 4.017195224761963
test_021, 2.429090976715088
test_022, 3.9334871768951416
test_023, 3.882927417755127
test_024, 2.9875118732452393
test_025, 2.061906576156616
test_026, 3.6900529861450195
test_027, 3.1723828315734863
test_028, 3.4824883937835693
test_029, 3.1302361488342285
test_030, 3.0219011306762695
test_031, 4.078580856323242
test_032, 2.916023015975952
test_033, 3.7516748905181885
test_034, 3.530975103378296
test_035, 3.246673345565796
test_036, 3.075073719024658
test_037, 4.467731475830078
test_038, 3.8822214603424072
test_039, 4.099828720092773
test_040, 3.7951622009277344
test_041, 3.5413098335266113
test_042, 4.252647399902344
test_043, 2.433821439743042
test_044, 3.9891483783721924
test_045, 3.4762113094329834
test_046, 3.4010374546051025
test_047, 2.7589478492736816
test_048, 4.2493672370910645
test_049, 3.1093008518218994
test_050, 2.976590633392334
test_051, 3.9074301719665527
test_052, 4.383799076080322
test_053, 3.61556339263916
test_054, 2.9017388820648193
test_055, 4.3403167724609375
test_056, 3.605712890625
test_057, 4.353333473205566
test_058, 3.761911153793335
test_059, 4.236976146697998
test_060, 3.878190279006958
test_061, 3.590285301208496
test_062, 4.027010440826416
test_063, 3.197417974472046
test_064, 3.929077625274658
test_065, 2.8702571392059326
test_066, 3.3664395809173584
test_067, 2.9923160076141357
test_068, 1.593142032623291
test_069, 3.5020134449005127
test_070, 3.6165771484375
test_071, 3.771622896194458
test_072, 3.2178704738616943
test_073, 2.9788615703582764
test_074, 2.99399733543396
test_075, 3.690931558609009
test_076, 2.7774651050567627
test_077, 3.656278133392334
test_078, 2.955612897872925
test_079, 3.386458396911621
test_080, 4.208884239196777
test_081, 4.187341690063477
test_082, 3.7123990058898926
test_083, 3.3913707733154297
test_084, 3.0206425189971924
test_085, 3.517598867416382
test_086, 3.7412266731262207
test_087, 3.245759963989258
test_088, 3.5145745277404785
test_089, 3.86238956451416
test_090, 4.256354331970215
test_091, 3.778944492340088
test_092, 2.873263359069824
test_093, 3.6497440338134766
test_094, 3.3214213848114014
test_095, 4.33009672164917
test_096, 3.909733295440674
test_097, 2.844550609588623
test_098, 4.031472206115723
test_099, 3.6093451976776123
test_100, 3.037663459777832
test_101, 2.626779079437256
test_102, 3.6377274990081787
test_103, 3.7061266899108887
test_104, 3.884498357772827
test_105, 3.4865424633026123
test_106, 3.616633415222168
test_107, 3.0364789962768555
test_108, 2.587775707244873
test_109, 1.6925272941589355
test_110, 2.988349676132202
test_111, 4.32102632522583
test_112, 3.6565918922424316
test_113, 3.071406126022339
test_114, 3.160045623779297
test_115, 3.8965096473693848
test_116, 4.397533416748047
test_117, 3.6894023418426514
test_118, 3.536715269088745
test_119, 2.394228219985962
test_120, 2.409248113632202
test_121, 2.757351875305176
test_122, 3.7477223873138428
test_123, 2.803013801574707
test_124, 2.9275460243225098
test_125, 3.9748694896698
test_126, 4.1175007820129395
test_127, 4.157242774963379
test_128, 3.660343647003174
test_129, 3.2387261390686035
test_130, 3.0600810050964355
test_131, 3.2370052337646484
test_132, 3.708057403564453
test_133, 2.5480663776397705
test_134, 3.574241876602173
test_135, 3.910615921020508
test_136, 3.8633475303649902
test_137, 3.527986764907837
test_138, 3.9852421283721924
test_139, 3.5165717601776123
test_140, 4.040939807891846
test_141, 3.3443071842193604
test_142, 3.894648790359497
test_143, 4.120319843292236
test_144, 3.634448289871216
test_145, 3.0585567951202393
test_146, 4.103673458099365
test_147, 4.027514934539795
test_148, 3.008380174636841
test_149, 3.6655142307281494
