test_id, mos
test_000, 2.8771674633026123
test_001, 2.8655524253845215
test_002, 4.428408622741699
test_003, 3.203587055206299
test_004, 2.813150405883789
test_005, 3.268721342086792
test_006, 3.355290651321411
test_007, 4.64631986618042
test_008, 3.625739336013794
test_009, 2.3576900959014893
test_010, 3.8416848182678223
test_011, 4.5104570388793945
test_012, 3.0188138484954834
test_013, 2.6048641204833984
test_014, 3.2384681701660156
test_015, 4.760203838348389
test_016, 2.9526495933532715
test_017, 3.4814252853393555
test_018, 4.45781946182251
test_019, 3.1526060104370117
test_020, 4.77963924407959
test_021, 2.6278884410858154
test_022, 3.028625965118408
test_023, 2.9172565937042236
test_024, 2.7798404693603516
test_025, 3.1238574981689453
test_026, 3.103271484375
test_027, 2.589928150177002
test_028, 4.239067554473877
test_029, 3.9690301418304443
test_030, 3.964982271194458
test_031, 3.1069817543029785
test_032, 3.7156941890716553
test_033, 2.985189199447632
test_034, 3.441819190979004
test_035, 2.789769172668457
test_036, 2.5738613605499268
test_037, 2.692237138748169
test_038, 2.804598093032837
test_039, 3.980161666870117
test_040, 2.384329319000244
test_041, 3.0820393562316895
test_042, 3.0027260780334473
test_043, 3.8124890327453613
test_044, 2.692169427871704
test_045, 3.167750120162964
test_046, 4.433922290802002
test_047, 4.3607659339904785
test_048, 3.215669631958008
test_049, 3.1670308113098145
test_050, 3.1319427490234375
test_051, 4.108077526092529
test_052, 3.0188210010528564
test_053, 4.668767929077148
test_054, 3.4509823322296143
test_055, 4.302379131317139
test_056, 2.862276315689087
test_057, 3.8686749935150146
test_058, 2.893451690673828
test_059, 2.934422254562378
test_060, 3.0165560245513916
test_061, 2.8868160247802734
test_062, 4.668726921081543
test_063, 3.052816152572632
test_064, 2.9525232315063477
test_065, 2.882556200027466
test_066, 3.1021523475646973
test_067, 3.3984310626983643
test_068, 2.6996219158172607
test_069, 3.3457303047180176
test_070, 2.9231719970703125
test_071, 3.1852867603302
test_072, 2.5045230388641357
test_073, 2.441646099090576
test_074, 2.8149783611297607
test_075, 3.004164695739746
test_076, 4.131301403045654
test_077, 3.132119655609131
test_078, 3.036578893661499
test_079, 3.9189062118530273
test_080, 2.932633876800537
test_081, 2.679978847503662
test_082, 2.9352517127990723
test_083, 3.3299641609191895
test_084, 3.1225404739379883
test_085, 3.474518299102783
test_086, 2.755145311355591
test_087, 4.667875289916992
test_088, 3.442227840423584
test_089, 2.9601356983184814
test_090, 4.040795803070068
test_091, 4.4709954261779785
test_092, 3.047851085662842
test_093, 3.315467119216919
test_094, 3.4250502586364746
test_095, 3.6882424354553223
test_096, 4.6169867515563965
test_097, 3.7829034328460693
test_098, 3.908280372619629
test_099, 3.136988639831543
test_100, 3.256826639175415
test_101, 4.660912990570068
test_102, 3.4039790630340576
test_103, 2.707857847213745
test_104, 4.000494480133057
test_105, 4.4351019859313965
test_106, 3.167384624481201
test_107, 3.9602670669555664
test_108, 2.860858917236328
test_109, 3.1434171199798584
test_110, 2.6168155670166016
test_111, 3.2499704360961914
test_112, 2.823474407196045
test_113, 2.9810125827789307
test_114, 2.9846203327178955
test_115, 3.230534076690674
test_116, 3.9386749267578125
test_117, 2.7830469608306885
test_118, 2.4578773975372314
test_119, 2.9576802253723145
test_120, 4.2297043800354
test_121, 2.9575133323669434
test_122, 3.3832132816314697
test_123, 2.418672800064087
test_124, 3.771233320236206
test_125, 4.118677139282227
test_126, 4.091170310974121
test_127, 2.401782274246216
test_128, 2.3348777294158936
test_129, 2.955958604812622
test_130, 3.0787172317504883
test_131, 2.9070022106170654
test_132, 3.8517842292785645
test_133, 2.7956531047821045
test_134, 3.1517860889434814
test_135, 2.879396438598633
test_136, 2.7486653327941895
test_137, 2.90694522857666
test_138, 4.519892692565918
test_139, 3.48390793800354
test_140, 3.296837329864502
test_141, 3.188169479370117
test_142, 3.169650077819824
test_143, 3.2517776489257812
test_144, 4.255122184753418
test_145, 2.7214930057525635
test_146, 3.150301456451416
test_147, 2.847618579864502
test_148, 2.967708110809326
test_149, 4.28725528717041
test_150, 2.9858100414276123
test_151, 2.84196138381958
test_152, 2.459202289581299
test_153, 3.469883680343628
test_154, 2.801727533340454
test_155, 3.3337087631225586
test_156, 4.170750617980957
test_157, 4.102290630340576
test_158, 3.0959532260894775
test_159, 3.022949457168579
test_160, 3.493131637573242
test_161, 3.785322666168213
test_162, 2.781712532043457
test_163, 3.8111112117767334
test_164, 3.9714059829711914
test_165, 3.0004215240478516
test_166, 3.136430263519287
test_167, 4.208247661590576
test_168, 2.9221367835998535
test_169, 4.068586349487305
test_170, 2.644831895828247
test_171, 2.4446969032287598
test_172, 4.223587989807129
test_173, 3.3449723720550537
test_174, 2.918816566467285
test_175, 3.5667717456817627
test_176, 3.4972572326660156
test_177, 2.8817222118377686
test_178, 3.1880300045013428
test_179, 3.894688606262207
test_180, 4.334566116333008
test_181, 3.212623119354248
test_182, 3.4527409076690674
test_183, 2.430699586868286
test_184, 3.0880210399627686
test_185, 2.8599917888641357
test_186, 2.62782883644104
test_187, 2.9811949729919434
test_188, 3.13228702545166
test_189, 2.448542594909668
test_190, 3.1852498054504395
test_191, 3.362603187561035
test_192, 2.921811819076538
test_193, 2.7051854133605957
test_194, 2.581590414047241
test_195, 4.310020923614502
test_196, 4.630376815795898
test_197, 2.6174511909484863
test_198, 2.7081222534179688
test_199, 3.202465772628784
test_200, 2.950608491897583
test_201, 4.407104015350342
test_202, 3.4406301975250244
test_203, 2.97237229347229
test_204, 3.4759514331817627
test_205, 3.733501434326172
test_206, 4.391852855682373
test_207, 4.485167026519775
test_208, 3.94354510307312
test_209, 2.3498082160949707
