test_id, mos
test_000, 3.094142198562622
test_001, 4.48075008392334
test_002, 2.975921392440796
test_003, 2.5150504112243652
test_004, 2.9265077114105225
test_005, 3.7290730476379395
test_006, 3.0982742309570312
test_007, 3.458012580871582
test_008, 3.643505096435547
test_009, 2.7496089935302734
test_010, 3.140676259994507
test_011, 2.7135345935821533
test_012, 3.212195634841919
test_013, 2.5171477794647217
test_014, 3.2646515369415283
test_015, 3.047353506088257
test_016, 3.2422990798950195
test_017, 2.9394614696502686
test_018, 3.4334545135498047
test_019, 4.156944274902344
test_020, 2.2926697731018066
test_021, 2.5625412464141846
test_022, 3.3919677734375
test_023, 4.2040581703186035
test_024, 4.415021896362305
test_025, 2.9725286960601807
test_026, 3.8919548988342285
test_027, 2.7063751220703125
test_028, 2.5994224548339844
test_029, 3.507805824279785
test_030, 2.9737823009490967
test_031, 3.0381410121917725
test_032, 2.8535094261169434
test_033, 2.9319655895233154
test_034, 2.5771946907043457
test_035, 2.936802625656128
test_036, 2.8899075984954834
test_037, 2.804074764251709
test_038, 3.2743895053863525
test_039, 4.304840564727783
test_040, 3.7267327308654785
test_041, 2.6580512523651123
test_042, 2.73117995262146
test_043, 3.019483804702759
test_044, 3.7202043533325195
test_045, 2.999389410018921
test_046, 3.211601734161377
test_047, 3.0806264877319336
test_048, 3.258383274078369
test_049, 2.7385780811309814
test_050, 2.8724164962768555
test_051, 2.75536847114563
test_052, 2.965280294418335
test_053, 3.767265796661377
test_054, 3.1459786891937256
test_055, 2.519861936569214
test_056, 2.892080783843994
test_057, 3.2347829341888428
test_058, 3.0767290592193604
test_059, 3.020646810531616
test_060, 2.9769434928894043
test_061, 3.401235580444336
test_062, 3.078110456466675
test_063, 2.9654970169067383
test_064, 3.006981611251831
test_065, 3.02675724029541
test_066, 3.192927360534668
test_067, 3.74106502532959
test_068, 2.509840965270996
test_069, 2.7614827156066895
test_070, 2.763197422027588
test_071, 3.1108763217926025
test_072, 3.588266134262085
test_073, 2.9274847507476807
test_074, 2.9873716831207275
test_075, 3.5911476612091064
test_076, 3.00581693649292
test_077, 3.735525131225586
test_078, 3.1131155490875244
test_079, 3.2044830322265625
test_080, 2.6784844398498535
test_081, 3.092402219772339
test_082, 2.6458349227905273
test_083, 2.677405834197998
test_084, 2.645138740539551
test_085, 3.6761245727539062
test_086, 2.416560173034668
test_087, 2.413072347640991
test_088, 4.451866149902344
test_089, 4.458320140838623
test_090, 2.3887741565704346
test_091, 3.1563634872436523
test_092, 3.184558153152466
test_093, 4.453853607177734
test_094, 2.6487245559692383
test_095, 2.68993878364563
test_096, 2.972458839416504
test_097, 3.1184184551239014
test_098, 3.435488224029541
test_099, 3.770862579345703
test_100, 3.1794681549072266
test_101, 3.6320440769195557
test_102, 2.859328269958496
test_103, 2.4187538623809814
test_104, 2.7405781745910645
test_105, 3.938366651535034
test_106, 3.3114264011383057
test_107, 4.019238471984863
test_108, 2.993990182876587
test_109, 3.8388915061950684
test_110, 4.377220630645752
test_111, 2.8434221744537354
test_112, 4.415761470794678
test_113, 2.8631560802459717
test_114, 2.859985113143921
test_115, 2.3563153743743896
test_116, 2.51125168800354
test_117, 2.4280383586883545
test_118, 2.969801664352417
test_119, 2.5047173500061035
test_120, 2.8095462322235107
test_121, 2.9124815464019775
test_122, 3.6090354919433594
test_123, 3.5961689949035645
test_124, 3.0631871223449707
test_125, 2.788548231124878
test_126, 3.0587713718414307
test_127, 2.7297468185424805
test_128, 3.516190767288208
test_129, 3.126903772354126
test_130, 3.8154749870300293
test_131, 2.583158016204834
test_132, 3.0925521850585938
test_133, 2.5955779552459717
test_134, 4.141799449920654
test_135, 3.1964478492736816
test_136, 2.7510786056518555
test_137, 3.398411273956299
test_138, 3.9778077602386475
test_139, 3.822870969772339
test_140, 2.582575559616089
test_141, 4.523365497589111
test_142, 4.4989752769470215
test_143, 3.2672808170318604
test_144, 3.0702359676361084
test_145, 3.283916711807251
test_146, 3.022456407546997
test_147, 2.535454273223877
test_148, 3.017071485519409
test_149, 2.7075397968292236
test_150, 3.180471658706665
test_151, 2.9182701110839844
test_152, 2.5291271209716797
test_153, 3.0103986263275146
test_154, 2.5857934951782227
test_155, 2.652798891067505
test_156, 2.7640902996063232
test_157, 3.1274521350860596
test_158, 3.0544843673706055
test_159, 2.89023494720459
test_160, 3.303720474243164
test_161, 3.539731025695801
test_162, 2.9871814250946045
test_163, 3.685152769088745
test_164, 3.0874688625335693
test_165, 3.445396661758423
test_166, 2.7458128929138184
test_167, 2.956068754196167
test_168, 3.564171075820923
test_169, 3.327937126159668
test_170, 3.494387626647949
test_171, 4.407904148101807
test_172, 3.998638868331909
test_173, 4.372748851776123
test_174, 4.377358436584473
test_175, 2.465630531311035
test_176, 3.8654093742370605
test_177, 3.020768880844116
test_178, 2.107635736465454
test_179, 3.73646879196167
test_180, 3.1354522705078125
test_181, 3.2033185958862305
test_182, 3.753868341445923
test_183, 2.956517219543457
test_184, 4.074238300323486
test_185, 3.606429100036621
