test_id, mos
test_000, 3.0221517086029053
test_001, 4.059999465942383
test_002, 3.1629600524902344
test_003, 2.6224043369293213
test_004, 3.402813196182251
test_005, 3.0743181705474854
test_006, 3.1238577365875244
test_007, 3.195945978164673
test_008, 2.9250333309173584
test_009, 3.2813544273376465
test_010, 3.127535343170166
test_011, 3.28029465675354
test_012, 3.191094160079956
test_013, 2.6096410751342773
test_014, 3.4442386627197266
test_015, 3.323033571243286
test_016, 2.765516757965088
test_017, 3.6874210834503174
test_018, 3.294391393661499
test_019, 3.9300081729888916
test_020, 2.2318787574768066
test_021, 4.019546985626221
test_022, 3.138427257537842
test_023, 4.324185371398926
test_024, 3.523423433303833
test_025, 2.914088010787964
test_026, 3.565155029296875
test_027, 3.4683680534362793
test_028, 2.7422292232513428
test_029, 2.539654493331909
test_030, 3.2855865955352783
test_031, 3.0572683811187744
test_032, 3.238859176635742
test_033, 4.22808313369751
test_034, 3.692056655883789
test_035, 3.8280551433563232
test_036, 3.5210235118865967
test_037, 3.597533941268921
test_038, 3.960347890853882
test_039, 3.6231400966644287
test_040, 3.1872825622558594
test_041, 3.1358840465545654
test_042, 3.4918642044067383
test_043, 3.1186020374298096
test_044, 3.1884751319885254
test_045, 4.246870040893555
test_046, 3.7566421031951904
test_047, 4.314195156097412
test_048, 3.2068185806274414
test_049, 3.0331099033355713
test_050, 2.9422097206115723
test_051, 2.9456288814544678
test_052, 2.9730234146118164
test_053, 3.018066167831421
test_054, 2.7240984439849854
test_055, 2.866072416305542
test_056, 3.2487144470214844
test_057, 3.0441956520080566
test_058, 2.992391347885132
test_059, 2.972808837890625
test_060, 3.060957908630371
test_061, 3.0849575996398926
test_062, 2.9937376976013184
test_063, 2.976118803024292
test_064, 3.2266016006469727
test_065, 2.7744054794311523
test_066, 3.1426444053649902
test_067, 3.209380626678467
test_068, 3.11958384513855
test_069, 3.1318893432617188
test_070, 3.131453275680542
test_071, 3.158163547515869
test_072, 3.052720308303833
test_073, 3.1181223392486572
test_074, 3.2369766235351562
test_075, 2.955730676651001
test_076, 2.772301435470581
test_077, 3.206416606903076
test_078, 3.1557674407958984
test_079, 3.14612078666687
test_080, 3.425274133682251
test_081, 4.093600273132324
test_082, 3.6340579986572266
test_083, 3.421229124069214
test_084, 3.640825033187866
test_085, 3.1715404987335205
test_086, 3.3693838119506836
test_087, 3.370351791381836
test_088, 3.038081169128418
test_089, 3.035799503326416
test_090, 3.3640553951263428
test_091, 4.151047229766846
test_092, 4.095891952514648
test_093, 3.0367016792297363
test_094, 3.6761555671691895
test_095, 3.448516607284546
test_096, 3.6515228748321533
test_097, 4.123756408691406
test_098, 2.9683501720428467
test_099, 3.2699623107910156
test_100, 3.3893566131591797
test_101, 3.938009738922119
test_102, 3.5878095626831055
test_103, 3.1151158809661865
test_104, 3.58487606048584
test_105, 4.228628635406494
test_106, 3.08833646774292
test_107, 3.0518572330474854
test_108, 3.295876979827881
test_109, 3.875551700592041
test_110, 3.4771902561187744
test_111, 3.0504531860351562
test_112, 2.9943127632141113
test_113, 3.199040412902832
test_114, 3.027409791946411
test_115, 2.4622621536254883
test_116, 3.3982067108154297
test_117, 3.086947202682495
test_118, 3.255005359649658
test_119, 3.3789446353912354
test_120, 3.062448024749756
test_121, 3.3276612758636475
test_122, 4.283572673797607
test_123, 4.292755603790283
test_124, 3.0457797050476074
test_125, 3.2342846393585205
test_126, 2.8760595321655273
test_127, 2.9973323345184326
test_128, 2.999480962753296
test_129, 3.735610008239746
test_130, 3.369302988052368
test_131, 3.946166515350342
test_132, 3.568333387374878
test_133, 3.248288631439209
test_134, 4.140578269958496
test_135, 3.311588764190674
test_136, 2.9491822719573975
test_137, 3.5408546924591064
test_138, 3.4373621940612793
test_139, 3.1314282417297363
test_140, 3.3318724632263184
test_141, 4.015223026275635
test_142, 3.145699977874756
test_143, 3.765418529510498
test_144, 4.290213584899902
test_145, 3.703275203704834
test_146, 4.493781089782715
test_147, 3.6939733028411865
test_148, 4.506929397583008
test_149, 4.5555243492126465
test_150, 4.329855918884277
test_151, 4.220219612121582
test_152, 3.7126643657684326
test_153, 4.650136947631836
test_154, 4.445641040802002
test_155, 3.4622957706451416
test_156, 3.5146028995513916
test_157, 4.488570213317871
test_158, 4.3771820068359375
test_159, 4.364789962768555
test_160, 3.422605276107788
test_161, 3.161572217941284
