test_id, mos
test_000, 3.013620138168335
test_001, 1.9706974029541016
test_002, 2.63126540184021
test_003, 1.9470322132110596
test_004, 2.6956193447113037
test_005, 3.1638121604919434
test_006, 4.015689373016357
test_007, 1.642900824546814
test_008, 3.140385627746582
test_009, 1.7875545024871826
test_010, 3.9539554119110107
test_011, 1.5442333221435547
test_012, 1.5969524383544922
test_013, 1.6813026666641235
test_014, 1.5622501373291016
test_015, 1.6799170970916748
test_016, 2.8860716819763184
test_017, 2.4501540660858154
test_018, 1.6383219957351685
test_019, 1.4847151041030884
test_020, 2.932457685470581
test_021, 1.4739809036254883
test_022, 2.908202648162842
test_023, 2.88655686378479
test_024, 1.7866007089614868
test_025, 2.72287654876709
test_026, 3.105175495147705
test_027, 1.4920331239700317
test_028, 3.7720110416412354
test_029, 3.332167625427246
test_030, 3.3513288497924805
test_031, 1.999893069267273
test_032, 1.5859719514846802
test_033, 3.2781729698181152
test_034, 1.5625191926956177
test_035, 1.5794357061386108
test_036, 4.214548587799072
test_037, 3.59244704246521
test_038, 3.1652488708496094
test_039, 3.999903440475464
test_040, 1.737284541130066
test_041, 2.9329710006713867
test_042, 1.773052453994751
test_043, 2.808601140975952
test_044, 1.7117729187011719
test_045, 2.881032705307007
test_046, 1.518739104270935
test_047, 2.6615054607391357
test_048, 3.631925582885742
test_049, 1.4715317487716675
test_050, 1.4825197458267212
test_051, 2.8138256072998047
test_052, 1.4312946796417236
test_053, 2.1271374225616455
test_054, 3.39898943901062
test_055, 2.8182501792907715
test_056, 3.579310178756714
test_057, 3.669616222381592
test_058, 1.6089304685592651
test_059, 3.3662474155426025
test_060, 1.7603026628494263
test_061, 2.5590903759002686
test_062, 1.5962433815002441
test_063, 1.4268912076950073
test_064, 2.154010057449341
test_065, 3.4373371601104736
test_066, 1.7858806848526
test_067, 1.4650983810424805
test_068, 1.4945842027664185
test_069, 1.5338892936706543
test_070, 1.5118093490600586
test_071, 2.8826751708984375
test_072, 2.7479360103607178
test_073, 1.5963256359100342
test_074, 1.8732718229293823
test_075, 1.5193735361099243
test_076, 3.3185462951660156
test_077, 1.474063754081726
test_078, 2.9105517864227295
test_079, 1.7700310945510864
test_080, 1.7863739728927612
test_081, 3.3099234104156494
test_082, 1.5015593767166138
test_083, 1.8161033391952515
test_084, 1.493451476097107
test_085, 3.8008127212524414
test_086, 3.1145734786987305
test_087, 3.067514657974243
test_088, 3.251286745071411
test_089, 3.2388503551483154
test_090, 3.1928765773773193
test_091, 3.34513258934021
test_092, 3.345212936401367
test_093, 3.261013984680176
test_094, 1.4705904722213745
test_095, 1.693018913269043
test_096, 3.3055124282836914
test_097, 2.142559766769409
test_098, 1.706984281539917
test_099, 3.050478458404541
test_100, 1.5730109214782715
test_101, 1.6565340757369995
test_102, 1.4770534038543701
test_103, 2.82645320892334
test_104, 1.7196307182312012
test_105, 1.6900138854980469
test_106, 1.5875781774520874
test_107, 2.8679087162017822
test_108, 2.7880380153656006
test_109, 2.757526397705078
test_110, 3.142322063446045
test_111, 1.9538259506225586
test_112, 1.4342516660690308
test_113, 1.7854300737380981
test_114, 3.025555372238159
test_115, 2.7526798248291016
test_116, 1.465736746788025
test_117, 1.568676233291626
test_118, 3.1586406230926514
test_119, 1.4916094541549683
test_120, 1.5854427814483643
test_121, 3.215681552886963
test_122, 2.5354268550872803
test_123, 2.4891045093536377
test_124, 1.480908751487732
test_125, 1.5107663869857788
test_126, 1.756978988647461
test_127, 1.6210734844207764
test_128, 3.4180057048797607
test_129, 3.8401968479156494
test_130, 1.5018833875656128
test_131, 3.1800310611724854
test_132, 1.6217366456985474
test_133, 2.8775510787963867
test_134, 2.315349817276001
test_135, 2.7450363636016846
test_136, 3.588991165161133
test_137, 1.684317708015442
test_138, 2.077791690826416
test_139, 1.542517066001892
test_140, 3.173797130584717
test_141, 2.8049120903015137
test_142, 2.115368604660034
test_143, 1.6306698322296143
